exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",196585,P - Pounds,,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",193563,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",192383,P - Pounds,,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",192348,P - Pounds,H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",191204,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",190788,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",190391,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",190237,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",189552,P - Pounds,H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",189065,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",188823,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",188760,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",188649,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",188318,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",188121,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",187702,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",187260,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",186533,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",186490,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",185364,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
